measurement,b,c
OD elmo,0.9938884934169288,0.010710771297176208
OD nano,1.0113566344528313,0.011894530749807286
OD loaner,0.9849931455371382,-0.0028824840070200697
YFP elmo,0.334873535502607,0.06560478293409311
YFP nano,0.6281970059084294,-5.343409160220446
YFP loaner,1.7153482406947944,0.1801028306451068
CFP elmo,0.315827612828693,-44.80104880072561
CFP nano,0.5942151007720622,-73.6673374570538
CFP loaner,2.013626425133813,14.686000354498526
mCherry elmo,0.30410624302151645,4.712208014476053
mCherry nano,0.519647434187883,-1.7323657275183306
mCherry loaner,1.584373475999747,8.40836233001104
GFP elmo,0.31430869823373053,24.945371529185532
GFP nano,0.6051949313519542,15.6610630887014
GFP loaner,1.8967089919077411,16.868009248673708
